Year/Month/Day or Period,Event,Category,Economic/Market Impact (S&P 500),,,,,,,,,,,,,,,,,,,,,
2005-05-05,GM & Ford downgraded to junk,Credit/Corporate,Risk-off in credit; pressure on equities (auto/financials),,,,,,,,,,,,,,,,,,,,,
2005-05-06,GM & Ford downgraded to junk,Credit/Corporate,Risk-off in credit; pressure on equities (auto/financials),,,,,,,,,,,,,,,,,,,,,
2005-07-07,London bombings,Terror/Geo,Initial risk-off in Europe; limited lasting impact on S&P 500,,,,,,,,,,,,,,,,,,,,,
2005-8-23,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-24,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-25,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-26,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-27,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-28,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-29,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-30,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2005-8-31,Hurricane Katrina,Disaster/Energy,Sector pressure (insurance/energy); limited broad S&P impact,,,,,,,,,,,,,,,,,,,,,
2006-05-09,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-10,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-11,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-12,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-13,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-14,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-15,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-16,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-17,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-18,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-19,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-20,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-21,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-22,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-23,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-24,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-25,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-26,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-27,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-28,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-29,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-30,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-05-31,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-01,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-02,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-03,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-04,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-05,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-06,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-07,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-08,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-09,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-10,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-11,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-12,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-13,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-06-14,Global rate-scare correction,Macro/Rates,S&P ~-8% peak-to-trough,,,,,,,,,,,,,,,,,,,,,
2006-07-12,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-13,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-14,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-15,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-16,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-17,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-18,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-19,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-20,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-21,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-22,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
2006-07-23,Israel–Hezbollah war,Geopolitics,Regional risk-off; higher energy; modest U.S. equity volatility,,,,,,,,,,,,,,,,,,,,,
