Term,Definition,,,
Alpha,A measure of an investment’s excess return compared to a benchmark index.,,,
Annuity,A contract that provides regular payments for a set period or for life.,,,
Asset,"Anything of value owned, such as stocks, bonds, or real estate.",,,
Asset Allocation,Strategy of dividing investments among asset classes to balance risk and return.,,,
Bear Market,A period when stock prices fall 20% or more from recent highs.,,,
Beta,A measure of a stock’s volatility compared to the overall market.,,,
Blue-Chip Stocks,"Shares of large, financially stable, and established companies.",,,
Bond,A debt security where an investor lends money to an entity in exchange for interest payments.,,,
Bull Market,A period when stock prices rise 20% or more over time.,,,
Capital Gain,Profit from selling an investment at a higher price than it was purchased.,,,
Compound Interest,Interest calculated on both the initial principal and accumulated interest.,,,
Cryptocurrency,"Digital currency secured by cryptography, independent of central banks.",,,
Derivatives,Financial contracts whose value is derived from an underlying asset.,,,
Diversification,Spreading investments across various assets to reduce risk.,,,
Dividend,A portion of a company’s earnings distributed to shareholders.,,,
Dividend Yield,Annual dividend payment as a percentage of the stock price.,,,
Emerging Markets,Developing economies with higher growth potential and risk.,,,
Equity,"Ownership interest in a company, usually in the form of stock.",,,
ETF (Exchange-Traded Fund),A fund traded on stock exchanges that tracks an index or asset group.,,,
Estate Planning,Organizing financial affairs to manage and transfer wealth after death.,,,
Expense Ratio,"The annual cost of managing a mutual fund or ETF, expressed as a percentage.",,,
Fixed Income,Investments like bonds that provide steady interest payments.,,,
Futures Contracts,Agreements to buy or sell an asset at a future date for a fixed price.,,,
Fund (Mutual Fund),"A pooled investment managed by professionals, investing in diversified securities.",,,
Growth Stocks,Shares of companies expected to grow earnings faster than the market average.,,,
Hedge,An investment made to reduce risk from price fluctuations.,,,
Hedge Fund,A private investment fund using advanced strategies to seek high returns.,,,
High-Yield Bond (Junk Bond),A bond with higher risk and higher return potential.,,,
Index Fund,A fund that passively tracks a market index like the S&P 500.,,,
Inflation,"The general increase in prices, reducing purchasing power.",,,
Inflation Hedge,An investment that protects against inflation.,,,
Initial Public Offering (IPO),The first sale of a company’s shares to the public.,,,
Leverage,Using borrowed capital to increase potential returns.,,,
Liquidity,How quickly an asset can be converted into cash without affecting its value.,,,
Liquidity Event,"An occasion where investors can cash out, such as a company sale or IPO.",,,
Market Capitalization (Market Cap),Total value of a company’s shares (price × shares outstanding).,,,
Modern Portfolio Theory (MPT),Theory emphasizing diversification to maximize return for a given risk.,,,
Mutual Fund,A professionally managed investment pool available to the public.,,,
Options (Call / Put),Contracts giving the right to buy or sell an asset at a set price within a set time.,,,
Portfolio,A collection of investments held by an individual or institution.,,,
Price-to-Earnings Ratio (P/E Ratio),Valuation measure comparing stock price to earnings per share.,,,
Private Equity,Investments in private companies not listed on public exchanges.,,,
Quantitative Easing (QE),Monetary policy where central banks buy securities to inject money into the economy.,,,
Rebalancing,Adjusting a portfolio to realign asset allocation with target goals.,,,
Return on Investment (ROI),Profitability measure: (gain – cost) ÷ cost.,,,
Risk Tolerance,Degree of variability in returns an investor is willing to withstand.,,,
Sharpe Ratio,A measure of risk-adjusted return.,,,
Stock,A security representing ownership in a company.,,,
S&P 500,A stock index of 500 large U.S. companies.,,,
Value Investing,Strategy of investing in undervalued companies with strong fundamentals.,,,
Volatility,Degree of price fluctuation in an asset.,,,
Venture Capital (VC),Financing provided to startups with high growth potential.,,,
